,URL,No. Anchors with Non Descriptive Text,Passes PageRank,Indexable,Indexable Status
0,https://www.mdmountainside.com/,1,Yes,Yes,Indexable
1,https://www.mdmountainside.com/blog,30,Yes,Yes,Indexable
2,https://www.mdmountainside.com/blog/love-is-in-the-mountain-maryland-air,1,Yes,Yes,Indexable
3,https://www.mdmountainside.com/blog/summer-of-music,1,Yes,Yes,Indexable
4,https://www.mdmountainside.com/contact-us,1,Yes,Yes,Indexable
5,https://www.mdmountainside.com/contest-home,1,Yes,Yes,Indexable
6,https://www.mdmountainside.com/delfest/resources,1,Yes,Yes,Indexable
7,https://www.mdmountainside.com/eat-and-drink,1,Yes,Yes,Indexable
8,https://www.mdmountainside.com/getting-around,1,Yes,Yes,Indexable
9,https://www.mdmountainside.com/holidays-2018,4,Yes,Yes,Indexable
10,https://www.mdmountainside.com/holideal,1,Yes,Yes,Indexable
11,https://www.mdmountainside.com/meeting-planners,1,Yes,Yes,Indexable
12,https://www.mdmountainside.com/news,16,Yes,Yes,Indexable
13,https://www.mdmountainside.com/outdoors,1,Yes,Yes,Indexable
14,https://www.mdmountainside.com/places-to-stay,1,Yes,Yes,Indexable
15,https://www.mdmountainside.com/plan-visit,1,Yes,Yes,Indexable
16,https://www.mdmountainside.com/resources,1,Yes,Yes,Indexable
17,https://www.mdmountainside.com/spring,3,Yes,Yes,Indexable
18,https://www.mdmountainside.com/summer,7,Yes,Yes,Indexable
19,https://www.mdmountainside.com/summer-of-heritage,1,Yes,Yes,Indexable
20,https://www.mdmountainside.com/things-to-do,1,Yes,Yes,Indexable
