,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
0,Audit Changes for https://www.mdmountainside.com between 2019-07-02 06:41 and 2019-08-05 07:07,,,
1,,,,
2,,,,
3,Crawl,,,
4,2019-07-02 00:00:00,2019-08-05 00:00:00,Change (%),Insight
5,97,102,5.15,URLs Not Found (4XX)
6,2,4,100,Redirected (3XX)
7,1439,0,-100,Uncrawled URLs
8,4630,3358,-27.47,Successful URLs (200)
9,4729,3464,-26.75,All URLs (excluding uncrawled)
10,4729,3464,-26.75,All URLs Found
11,0,0,0,Error (5XX)
12,0,0,0,Forbidden (403)
13,0,0,0,Subdomain Urls
14,0,0,0,URLs Timing Out
15,Internal URLs,,,
16,2019-07-02 00:00:00,2019-08-05 00:00:00,Change (%),Insight
17,97,102,5.15,Internal URLs Not Found (4XX)
18,1157,1144,-1.12,Successful Internal URLs
19,1256,1249,-0.56,All Internal URLs
20,1252,1245,-0.56,Internal HTML URLs
21,4,4,0,Internal Download URLs
22,0,0,0,Error (5XX)
23,0,0,0,Forbidden Internal URLs
24,0,0,0,Internal AMP Page
25,0,0,0,Internal URLs Timing Out
26,Internal URLs,,,
27,2019-07-02 00:00:00,2019-08-05 00:00:00,Change (%),Hint
28,97,102,5.15,Broken internal URLs
29,148,129,-12.84,Query string contains paginated parameters
30,20,19,-5,URL contains upper case characters
31,0,0,0,Query string contains a question mark
32,0,0,0,Query string contains more than three parameters
33,0,0,0,Query string contains repetitive parameters
34,0,0,0,Query string contains search or filter parameters
35,0,0,0,Query string contains sort parameters
36,0,0,0,URL contains a double slash
37,0,0,0,URL contains non-ASCII characters
38,0,0,0,URL contains repetitive elements
39,0,0,0,URL contains whitespace
40,0,0,0,URL resolves under both HTTP and HTTPS
41,Resources,,,
42,2019-07-02 00:00:00,2019-08-05 00:00:00,Change (%),Insight
43,31,33,6.45,JavaScript resource URLs
44,10,11,10,CSS resource URLs
45,3403,2141,-37.08,Image resource URLs
46,3463,2204,-36.36,All Page Resource URLs
47,3463,2204,-36.36,Successful Resources
48,0,0,0,Forbidden Resources
49,0,0,0,Page Resource URLs disallowed by robots.txt
50,0,0,0,References a broken resource URL
51,0,0,0,Resource URL Error (5XX)
52,0,0,0,Resources Not Found (4XX)
53,0,0,0,Resources Timing Out
54,Links,,,
55,2019-07-02 00:00:00,2019-08-05 00:00:00,Change (%),Hint
56,69,70,1.45,Has incoming followed links that do not use descriptive anchor text
57,38,52,36.84,Has outgoing links with malformed href data
58,131,320,144.27,Has only one followed internal linking URL
59,0,87,8700,Only receives nofollow links or links from canonicalized URLs
60,7,4,-42.86,Has a link with whitespace in href attribute
61,36,21,-41.67,Has one or more outgoing followed links with non descriptive anchor text
62,1056,911,-13.73,Has a link with no href attribute
