,Type,Status,URLs,Hint,Description,Learn More
0,Advisory,Failed,145,Canonical points to a different internal URL,"URLs that specify a canonical URL which is not self-referential, and instead points to another internal URL. This Hint is flagged as Advisory as it could be the case that nothing is actually wrong here - canonicals are used as a valid means of avoiding duplicate content issues - so you may simply wish to check that the canonicals are pointing at the 'right' URLs. ",https://sitebulb.com/hints/indexability/canonical-hints/canonical-points-to-a-different-internal-url/
1,Issue,Failed,130,Next/Prev Paginated URL is canonicalized to different URL,"URLs that are canonicalized (i.e the canonical URL points to another URL), where the URL also has next/prev pagination elements. This is typically seen where rel=canonical points to the first page of a paginated series. Using rel=canonical in this manner can result in content on paginated pages not being indexed at all. ",https://sitebulb.com/hints/indexability/canonical-hints/nextprev-paginated-url-is-canonicalized-to-different-url/
2,Advisory,Failed,71,Noindex found on rel Next/Prev Paginated URL,URLs that are noindex where the URL also has next/prev pagination elements. This Hint is flagged as Advisory as it could be the case that nothing is actually wrong here - noindex and rel='next'/'prev' are entirely independent annotations - so you may simply wish to check that this deliberate and working as expected. ,https://sitebulb.com/hints/indexability/canonical-hints/noindex-found-on-rel-nextprev-paginated-url/
3,Issue,Failed,70,Canonical points to a noindex URL,"URLs that specify a canonical URL which is noindex. This constitutes conflicting messages to search engines, and as such the canonical instruction will likely be ignored. ",https://sitebulb.com/hints/indexability/canonical-hints/canonical-points-to-a-noindex-url/
4,Advisory,Failed,1,Paginated URL missing next/prev canonicals,"URLs that contain pagination HTML elements, but do not include next/prev canonicals in the HTML or in HTTP Headers. This Hint is flagged as Advisory as it not technically necessary to use next/prev elements, however it is recommended by search engines and considered best practice. ",https://sitebulb.com/hints/indexability/canonical-hints/paginated-url-missing-nextprev-canonicals/
5,Issue,Pass,0,Canonical is a relative URL,URLs that specify a canonical URL using a relative URL. Search engines do not recommend using relative URLs for canonicals as they can lead to future issues (even if there are no issues currently). ,https://sitebulb.com/hints/indexability/canonical-hints/canonical-is-a-relative-url/
6,Issue,Pass,0,Canonical is malformed or empty,"URLs that specify a canonical URL which is invalid or undefined. If canonical URLs are undefined (e.g. <link rel=""canonical"" href="""">) or invalid (e.g. <link rel=""canonical"" href=""http//example.com/"">) this indicates a configuration issue and should be addressed. ",https://sitebulb.com/hints/indexability/canonical-hints/canonical-is-malformed-or-empty/
7,Issue,Pass,0,Canonical loop,"URLs that specify a canonical URL, where the canonical URL also specifies a canonical, which in turn points back to the original URL. This causes a canonical loop (e.g. URL1 -> URL2 -> URL1) and could cause search engines to completely ignore all canonical instructions. ",https://sitebulb.com/hints/indexability/canonical-hints/canonical-loop/
8,Issue,Pass,0,Canonical outside of head,"URLs that have a canonical link element in the HTML which has been placed outside the <head>. Search engines will ignore canonical designations that do not appear in the <head>, so this issue could cause indexing problems. ",https://sitebulb.com/hints/indexability/canonical-hints/canonical-outside-of-head/
9,Issue,Pass,0,Canonical points to a disallowed URL,"URLs that specify a canonical URL which is disallowed by robots.txt. Search engines will be unable to crawl the disallowed URL, so the canonical instruction will likely be ignored. ",https://sitebulb.com/hints/indexability/canonical-hints/canonical-points-to-a-disallowed-url/
10,Issue,Pass,0,Canonical points to a noindex nofollow URL,"URLs that specify a canonical URL which is noindex nofollow. This constitutes conflicting messages to search engines, and as such the canonical instruction will likely be ignored. ",https://sitebulb.com/hints/indexability/canonical-hints/canonical-points-to-a-noindex-nofollow-url/
11,Issue,Pass,0,Canonical points to a redirecting URL,"URLs that specify a canonical URL which returned Redirect (3XX) when crawled by Sitebulb. This indicates to search engines that the canonical information is inaccurate, and as such, the canonical instruction may be ignored. ",https://sitebulb.com/hints/indexability/canonical-hints/canonical-points-to-a-redirecting-url/
