,URL,Meta Description,No. Duplicates,Duplicate URL,Paginated
0,https://www.mdmountainside.com/mcdonalds-1,I'm lovin' it,5.0,https://www.mdmountainside.com/mcdonalds-4,No
1,,,,https://www.mdmountainside.com/mcdonalds-5,No
2,,,,https://www.mdmountainside.com/mcdonalds-6,No
3,,,,https://www.mdmountainside.com/mcdonalds-7,No
4,,,,https://www.mdmountainside.com/mcdonalds-8,No
5,https://www.mdmountainside.com/first-peoples-community-federal-credit-union-frostburg,First Peoples Community Federal Credit Union,4.0,https://www.mdmountainside.com/first-peoples-community-federal-credit-union-cresaptown,No
6,,,,https://www.mdmountainside.com/first-peoples-community-federal-credit-union-industrial-blvd,No
7,,,,https://www.mdmountainside.com/first-peoples-community-federal-credit-union-lonaconing,No
8,,,,https://www.mdmountainside.com/first-peoples-community-federal-credit-union-queen-city-drive,No
9,https://www.mdmountainside.com/sheetz-virginia-avenue,Sheetz Convenience Store,5.0,https://www.mdmountainside.com/sheetz-bedford-road,No
10,,,,https://www.mdmountainside.com/sheetz-corriganville,No
11,,,,https://www.mdmountainside.com/sheetz-cresaptown,No
12,,,,https://www.mdmountainside.com/sheetz-frostburg,No
13,,,,https://www.mdmountainside.com/sheetz-winchester-road,Yes
14,https://www.mdmountainside.com/Delfest,"Expand your experience when you attend DelFest, Allegany County's premier music festival, featuring the legendary music of Del McCoury and family along with nationally touring bluegrass acts.",1.0,https://www.mdmountainside.com/delfest,No
15,https://www.mdmountainside.com/mcdonalds-3,I'm Lovin' It,1.0,https://www.mdmountainside.com/mcdonalds-2,No
16,https://www.mdmountainside.com/jolly-roger-discount-liquors,"Beer, wine, and spirits.",1.0,https://www.mdmountainside.com/allegany-liquor-store,No
17,https://www.mdmountainside.com/mt-bank-frostburg-2,"At M&T Bank, we've built our business on a tradition of reliability, accuracy and responsiveness to the needs of our customers.",3.0,https://www.mdmountainside.com/mt-bank-lavale,No
18,,,,https://www.mdmountainside.com/mt-bank-south-cumberland,No
19,,,,https://www.mdmountainside.com/mt-bank-westernport,No
