,URL,HTTP Status Code,HTTP Status,Crawl Source,First Parent URL,Title,Total Clicks,Total Impressions,Average CTR,Average Position,Desktop Clicks (URL Avg),Desktop Impressions (URL Avg),Desktop CTR (URL Avg),Desktop Position (URL Avg),Mobile Clicks (URL Avg),Mobile Impressions (URL Avg),Mobile CTR (URL Avg),Mobile Position (URL Avg),Tablet Clicks (URL Avg),Tablet Impressions (URL Avg),Tablet CTR (URL Avg),Tablet Position (URL Avg),Found in Google Analytics,Users,Sessions,Pageviews,Pageviews Per Session,Unique Pageviews,Bounce Rate,Avg Time On Page,Entrance Rate,Goal Completions,Goal Conversion Rate
0,https://www.mdmountainside.com/10th-annual-roger-rizer-memorial-car-show,404,Not Found,Google Analytics,None,Not Found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,4,4,4,1.0,4,100.0,0.0,100.0,0,0
1,https://www.mdmountainside.com/1st-presbyterian-churchs-annual-ice-cream-social,404,Not Found,Google Analytics,None,Not Found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,2,5,6,1.2,5,80.0,134.0,83.33,0,0
2,https://www.mdmountainside.com/2019-annual-members-exhibition,404,Not Found,Google Analytics,None,Not Found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,3,3,6,2.0,5,33.33,35.67,50.0,0,0
3,https://www.mdmountainside.com/2019-heritage-days-festival,404,Not Found,Google Analytics,None,Not Found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,721,868,1190,1.37,1070,84.33,110.53,72.94,0,0
4,https://www.mdmountainside.com/2019-polish-mountain-hill-climb,404,Not Found,Google Analytics,None,Not Found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,325,387,528,1.36,455,82.69,175.28,73.3,0,0
5,https://www.mdmountainside.com/32nd-annual-coney-days,404,Not Found,Google Analytics,None,Not Found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,48,50,144,2.88,99,54.0,68.15,34.72,0,0
6,https://www.mdmountainside.com/33rd-annual-coney-days-sunday-on-the-crick,404,Not Found,Google Analytics,None,Not Found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,6,7,12,1.71,9,42.86,476.6,58.33,0,0
7,https://www.mdmountainside.com/4th-of-july-fire-works,404,Not Found,Crawler,https://www.mdmountainside.com/4th-of-july-fireworks,Not Found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,45,56,88,1.57,77,75.0,125.52,63.64,0,0
8,https://www.mdmountainside.com/4th-of-july-plaque-reading,404,Not Found,Crawler,https://www.mdmountainside.com/4th-of-july-fireworks,Not Found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,4,5,7,1.4,7,60.0,534.0,71.43,0,0
9,https://www.mdmountainside.com/6th-annual-casa-wine-and-craft-beer-festival,404,Not Found,Google Analytics,None,Not Found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,16,17,18,1.06,18,94.12,166.0,94.44,0,0
10,https://www.mdmountainside.com/a-streetcar-named-desire,404,Not Found,Google Analytics,None,Not Found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,5,5,5,1.0,5,100.0,0.0,100.0,0,0
11,https://www.mdmountainside.com/allegany-county-fair-2019,404,Not Found,Google Analytics,None,Not Found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,264,285,493,1.73,425,69.82,74.26,57.81,0,0
12,https://www.mdmountainside.com/amish-outlaws-live,404,Not Found,Crawler,https://www.mdmountainside.com/blog/summer-of-music,Not Found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,5,5,6,1.2,6,80.0,420.0,83.33,0,0
13,https://www.mdmountainside.com/an-intimate-evening-with-bowman-bowman-and-dre,404,Not Found,Google Analytics,None,Not Found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,9,13,19,1.46,15,76.92,273.83,68.42,0,0
14,https://www.mdmountainside.com/art-and-yoga-2,404,Not Found,Google Analytics,None,Not Found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,1,1,1,1.0,1,100.0,0.0,100.0,0,0
15,https://www.mdmountainside.com/battle-of-folcks-mill-commemoration-at-1812-brewery,404,Not Found,Google Analytics,None,Not Found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,6,7,13,1.86,11,57.14,229.17,53.85,0,0
16,https://www.mdmountainside.com/blurred-lines-deborah-hicks-odgers,404,Not Found,Google Analytics,None,Not Found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,1,1,1,1.0,1,100.0,0.0,100.0,0,0
17,https://www.mdmountainside.com/book-discussion-of-heartland-a-memoir-by-sarah-smarsh-2,404,Not Found,Google Analytics,None,Not Found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,1,1,1,1.0,1,100.0,0.0,100.0,0,0
18,https://www.mdmountainside.com/cadillac-cowboys-and-maddie-lous-bbq-at-1812-brewery,404,Not Found,Google Analytics,None,Not Found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,3,3,3,1.0,3,100.0,0.0,100.0,0,0
19,https://www.mdmountainside.com/casting-crowns,404,Not Found,Google Analytics,None,Not Found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,45,50,90,1.8,69,72.0,70.85,55.56,0,0
20,https://www.mdmountainside.com/category/assemblies_of_god,404,Not Found,Google Analytics,None,Not Found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,1,1,1,1.0,1,100.0,0.0,100.0,1,100
