,Type,Status,URLs,Hint,Description,Learn More
0,Advisory,Failed,1140,URL contains a form with a GET method,"URLs that contain a form element with the method set to GET, which creates submission URLs with the form data in the query string. This presents a potential vulnerability for a large number of URLs to be created and/or cached, which could cause issues with crawl efficiency or index bloat ",https://sitebulb.com/hints/on-page/html-hints/url-contains-a-form-with-a-get-method/
1,Advisory,Failed,1069,Title tag length too long,"URLs that contain a title tag with too many characters. If the title uses too many characters, it may not be well optimized to effectively communicate the desired message. Depending on the query, search engines may truncate or rewrite titles that are too long. ",https://sitebulb.com/hints/on-page/seo-hints/title-tag-length-too-long/
2,Advisory,Failed,1035,Meta description length too short,"URLs that contain a meta description with too few characters. If the meta description is particularly short, this may mean it has been automatically generated or is not well optimized, and may achieve poor click-through-rate as a result. ",https://sitebulb.com/hints/on-page/seo-hints/meta-description-length-too-short/
3,Advisory,Failed,810,Meta description is empty,"URLs that have an empty meta description. The meta description is considered important to help users quickly understand what content they can expect to find on the page, when clicking through from the search engine results page. Well written meta descriptions typically achieve a better click-through-rate. If the meta description is empty, this represents a missed optimization opportunity. ",https://sitebulb.com/hints/on-page/seo-hints/meta-description-is-empty/
4,Advisory,Failed,188,Multiple <h1> tags,"URLs that contain multiple header 1s. Having more than one <h1> tag can be a sign of poor content structure, and could de-emphasize keyword associations with the page. ",https://sitebulb.com/hints/on-page/seo-hints/multiple-h1-tags/
5,Advisory,Failed,7,Meta description length too long,"URLs that contain a meta description with too many characters. If the meta description is very long, this may mean it has been automatically generated or is not well optimized, and may achieve poor click-through-rate as a result. Depending on the query, search engines may truncate or rewrite meta descriptions that are too long. ",https://sitebulb.com/hints/on-page/seo-hints/meta-description-length-too-long/
6,Advisory,Pass,0,<head> contains a <noscript> tag,"URLs where the <head> contains a <noscript> tag. You need to be very careful using <noscript> tags in the <head>, as you can very easily break the <head>, which can cause problems for search engines as they may be unable to find important head-only tags, such as hreflang. ",https://sitebulb.com/hints/on-page/html-hints/head-contains-a-noscript-tag/
7,Issue,Pass,0,"<head> contains a <noscript> tag, which includes an image","URLs where the <head> contains a <noscript> tag, which includes an image. Including an <img> tag in the <head> is invalid. This can be problematic for search engines crawlers that do not render JavaScript (i.e. most crawlers, most of the time), as the presence of the <img> tag breaks the <head>, which may cause important tags (e.g. meta robots) to be missed. ",https://sitebulb.com/hints/on-page/html-hints/head-contains-a-noscript-tag-which-includes-an-image/
8,Issue,Pass,0,<head> contains invalid HTML elements,"URLs where the <head> contains invalid DOM elements. Valid elements that can be used inside the <head> element are <title>, <meta>, <base>, <link>, <script>, <noscript>, <style> and <template>. Including invalid elements can lead to the HTML document not being parsed correctly, as the presence of other elements breaks the <head>, which may cause important tags (e.g. meta robots) to be missed. ",https://sitebulb.com/hints/on-page/html-hints/head-contains-invalid-html-elements/
9,Issue,Pass,0,HTML is missing or empty,"URLs do not contain any HTML. If there is no HTML content, then users and search engines alike will not be able to access any visible content. ",https://sitebulb.com/hints/on-page/html-hints/html-is-missing-or-empty/
