,URL,Title,Crawl Source,Found in Sitemaps,Found in Google Analytics,Found in Google Search Analytics,Indexable,Indexable Status,Total Clicks,Total Impressions,Average CTR,Average Position,Desktop Clicks (URL Avg),Desktop Impressions (URL Avg),Desktop CTR (URL Avg),Desktop Position (URL Avg),Mobile Clicks (URL Avg),Mobile Impressions (URL Avg),Mobile CTR (URL Avg),Mobile Position (URL Avg),Tablet Clicks (URL Avg),Tablet Impressions (URL Avg),Tablet CTR (URL Avg),Tablet Position (URL Avg),Users,Sessions,Pageviews,Pageviews Per Session,Unique Pageviews,Bounce Rate,Avg Time On Page,Entrance Rate,Goal Completions,Goal Conversion Rate
0,https://www.mdmountainside.com/10th-annual-roger-rizer-memorial-car-show,Not Found,Google Analytics,No,Yes,No,No,Not Found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,1.0,4,100.0,0.0,100.0,0,0
1,https://www.mdmountainside.com/1st-presbyterian-churchs-annual-ice-cream-social,Not Found,Google Analytics,No,Yes,No,No,Not Found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,6,1.2,5,80.0,134.0,83.33,0,0
2,https://www.mdmountainside.com/2019-annual-members-exhibition,Not Found,Google Analytics,No,Yes,No,No,Not Found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,2.0,5,33.33,35.67,50.0,0,0
3,https://www.mdmountainside.com/2019-heritage-days-festival,Not Found,Google Analytics,No,Yes,No,No,Not Found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,721,868,1190,1.37,1070,84.33,110.53,72.94,0,0
4,https://www.mdmountainside.com/2019-polish-mountain-hill-climb,Not Found,Google Analytics,No,Yes,No,No,Not Found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,387,528,1.36,455,82.69,175.28,73.3,0,0
5,https://www.mdmountainside.com/32nd-annual-coney-days,Not Found,Google Analytics,No,Yes,No,No,Not Found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,50,144,2.88,99,54.0,68.15,34.72,0,0
6,https://www.mdmountainside.com/33rd-annual-coney-days-sunday-on-the-crick,Not Found,Google Analytics,No,Yes,No,No,Not Found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,12,1.71,9,42.86,476.6,58.33,0,0
7,https://www.mdmountainside.com/6th-annual-casa-wine-and-craft-beer-festival,Not Found,Google Analytics,No,Yes,No,No,Not Found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17,18,1.06,18,94.12,166.0,94.44,0,0
8,https://www.mdmountainside.com/Delfest,"DelFest - Allegany County, The Mountain Side of Maryland",Google Analytics,No,Yes,No,Yes,Indexable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,10,2.0,7,80.0,252.4,50.0,0,0
9,https://www.mdmountainside.com/a-streetcar-named-desire,Not Found,Google Analytics,No,Yes,No,No,Not Found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,1.0,5,100.0,0.0,100.0,0,0
10,https://www.mdmountainside.com/allegany-county-fair-2019,Not Found,Google Analytics,No,Yes,No,No,Not Found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,285,493,1.73,425,69.82,74.26,57.81,0,0
11,https://www.mdmountainside.com/an-intimate-evening-with-bowman-bowman-and-dre,Not Found,Google Analytics,No,Yes,No,No,Not Found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,19,1.46,15,76.92,273.83,68.42,0,0
12,https://www.mdmountainside.com/art-and-yoga-2,Not Found,Google Analytics,No,Yes,No,No,Not Found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.0,1,100.0,0.0,100.0,0,0
13,https://www.mdmountainside.com/battle-of-folcks-mill-commemoration-at-1812-brewery,Not Found,Google Analytics,No,Yes,No,No,Not Found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,13,1.86,11,57.14,229.17,53.85,0,0
14,https://www.mdmountainside.com/blurred-lines-deborah-hicks-odgers,Not Found,Google Analytics,No,Yes,No,No,Not Found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.0,1,100.0,0.0,100.0,0,0
15,https://www.mdmountainside.com/book-discussion-of-heartland-a-memoir-by-sarah-smarsh-2,Not Found,Google Analytics,No,Yes,No,No,Not Found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.0,1,100.0,0.0,100.0,0,0
16,https://www.mdmountainside.com/cadillac-cowboys-and-maddie-lous-bbq-at-1812-brewery,Not Found,Google Analytics,No,Yes,No,No,Not Found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,1.0,3,100.0,0.0,100.0,0,0
17,https://www.mdmountainside.com/canal-place-heritage-area,Not Found,Google Analytics,No,Yes,No,No,Redirects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,1.5,6,50.0,82.5,66.67,0,0
18,https://www.mdmountainside.com/casting-crowns,Not Found,Google Analytics,No,Yes,No,No,Not Found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,50,90,1.8,69,72.0,70.85,55.56,0,0
19,https://www.mdmountainside.com/category/assemblies_of_god,Not Found,Google Analytics,No,Yes,No,No,Not Found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.0,1,100.0,0.0,100.0,1,100
20,https://www.mdmountainside.com/category/jewish_temple,Not Found,Google Analytics,No,Yes,No,No,Not Found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3.0,2,0.0,22.0,33.33,1,100
21,https://www.mdmountainside.com/co-canal-national-historical-park-visitors-center,Not Found,Google Analytics,No,Yes,No,No,Redirects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,12,2.4,9,60.0,282.43,41.67,0,0
22,https://www.mdmountainside.com/coffee-with-a-writer-amy-gottfried,Not Found,Google Analytics,No,Yes,No,No,Not Found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.0,1,100.0,0.0,100.0,0,0
23,https://www.mdmountainside.com/countdown-to-delfest-brunch-with-jason-mcdonald,Not Found,Google Analytics,No,Yes,No,No,Not Found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.0,1,100.0,0.0,100.0,0,0
24,https://www.mdmountainside.com/cramer-brothers-wtim-haines-good-carma-catering-at-1812-brewery,Not Found,Google Analytics,No,Yes,No,No,Not Found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3.0,2,0.0,31.5,33.33,0,0
25,https://www.mdmountainside.com/cumberland-pride-festival,Not Found,Google Analytics,No,Yes,No,No,Not Found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,35,2.5,26,78.57,35.52,40.0,0,0
26,https://www.mdmountainside.com/dans-mountain-pool-dollar-dip,Not Found,Google Analytics,No,Yes,No,No,Not Found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1.5,2,50.0,418.0,66.67,0,0
27,https://www.mdmountainside.com/deeper-community-night-of-worship,Not Found,Google Analytics,No,Yes,No,No,Not Found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.0,1,100.0,0.0,100.0,0,0
28,https://www.mdmountainside.com/dirty-mae-live-on-the-mccoury-family-stage-2,Not Found,Google Analytics,No,Yes,No,No,Not Found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,1.0,3,100.0,0.0,100.0,0,0
29,https://www.mdmountainside.com/dr-frankenmakers-lab-4,Not Found,Google Analytics,No,Yes,No,No,Not Found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4.0,2,0.0,180.0,25.0,0,0
30,https://www.mdmountainside.com/driftwood-live-on-the-mccoury-family-stage,Not Found,Google Analytics,No,Yes,No,No,Not Found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,13,1.3,11,80.0,173.33,76.92,0,0
31,https://www.mdmountainside.com/drive-in-fly-in-3,Not Found,Google Analytics,No,Yes,No,No,Not Found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1.0,2,100.0,0.0,100.0,0,0
32,https://www.mdmountainside.com/event/jul-2012-national_roller_hockey_championship,Not Found,Google Analytics,No,Yes,No,No,Not Found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.0,1,100.0,0.0,100.0,0,0
33,https://www.mdmountainside.com/event/sep-2012-sean_keane,Not Found,Google Analytics,No,Yes,No,No,Not Found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.0,1,100.0,0.0,100.0,0,0
34,https://www.mdmountainside.com/evergreen-herb-expo,Not Found,Google Analytics,No,Yes,No,No,Not Found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.0,1,100.0,0.0,100.0,0,0
35,https://www.mdmountainside.com/flower-and-plant-sale-in-downtown-cumberland,Not Found,Google Analytics,No,Yes,No,No,Not Found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,1.0,7,100.0,0.0,100.0,0,0
36,https://www.mdmountainside.com/fred-n-josh-plus-chef-pauls-kitchen-at-1812-brewery,Not Found,Google Analytics,No,Yes,No,No,Not Found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.0,1,100.0,0.0,100.0,0,0
37,https://www.mdmountainside.com/fred-n-josh-plus-klavuhn-wood-fired-concessions-at-1812-brewery,Not Found,Google Analytics,No,Yes,No,No,Not Found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.0,1,100.0,0.0,100.0,0,0
38,https://www.mdmountainside.com/frostburg-museum-,Not Found,Google Analytics,No,Yes,No,No,Redirects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,11,2.2,9,40.0,283.33,45.45,0,0
39,https://www.mdmountainside.com/george-washingtons-whiskey-rebellion-fest,Not Found,Google Analytics,No,Yes,No,No,Not Found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,16,2.29,14,85.71,42.78,43.75,0,0
40,https://www.mdmountainside.com/ghost-tour-of-historic-cumberland-2,Not Found,Google Analytics,No,Yes,No,No,Not Found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,1.33,4,66.67,648.0,75.0,0,0
41,https://www.mdmountainside.com/historic-national-road-yard-sale-in-downtown-cumberland-md,Not Found,Google Analytics,No,Yes,No,No,Not Found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,3.67,7,33.33,54.38,27.27,0,0
42,https://www.mdmountainside.com/jay-dewire-piano,Not Found,Google Analytics,No,Yes,No,No,Not Found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.0,1,100.0,0.0,100.0,0,0
43,https://www.mdmountainside.com/joey-harkum-band-live-on-the-mccoury-family-stage,Not Found,Google Analytics,No,Yes,No,No,Not Found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,20,1.43,15,71.43,260.67,70.0,0,0
44,https://www.mdmountainside.com/kemp-lodge-steak-feed,Not Found,Google Analytics,No,Yes,No,No,Not Found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,1.33,3,66.67,54.0,75.0,0,0
45,https://www.mdmountainside.com/kix-and-great-white-live,Not Found,Google Analytics,No,Yes,No,No,Not Found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.0,1,100.0,0.0,100.0,0,0
46,https://www.mdmountainside.com/lambda-car-club-international-grand-invitational,Not Found,Google Analytics,No,Yes,No,No,Not Found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,21,24,1.14,22,95.24,642.0,87.5,0,0
