,URL,Crawl Source,URL Source,Found in Sitemaps,Found in Google Analytics,Found in Google Search Analytics,Indexable,Indexable Status
0,https://www.mdmountainside.com/10th-annual-roger-rizer-memorial-car-show,Google Analytics,Google Analytics,No,Yes,No,No,Not Found
1,https://www.mdmountainside.com/1st-presbyterian-churchs-annual-ice-cream-social,Google Analytics,Google Analytics,No,Yes,No,No,Not Found
2,https://www.mdmountainside.com/2019-annual-members-exhibition,Google Analytics,Google Analytics,No,Yes,No,No,Not Found
3,https://www.mdmountainside.com/2019-heritage-days-festival,Google Analytics,Google Analytics,No,Yes,No,No,Not Found
4,https://www.mdmountainside.com/2019-polish-mountain-hill-climb,Google Analytics,Google Analytics,No,Yes,No,No,Not Found
5,https://www.mdmountainside.com/32nd-annual-coney-days,Google Analytics,Google Analytics,No,Yes,No,No,Not Found
6,https://www.mdmountainside.com/33rd-annual-coney-days-sunday-on-the-crick,Google Analytics,Google Analytics,No,Yes,No,No,Not Found
7,https://www.mdmountainside.com/6th-annual-casa-wine-and-craft-beer-festival,Google Analytics,Google Analytics,No,Yes,No,No,Not Found
8,https://www.mdmountainside.com/?fbclid=IwAR0IxhFOSItNOypFXaMzorh3kQ0vL5fw3XBhO8MYsh2VH9agoIAQJlBifyw,Google Analytics,Google Analytics,No,Yes,No,No,Canonicalized
9,https://www.mdmountainside.com/Delfest,Google Analytics,Google Analytics,No,Yes,No,Yes,Indexable
10,https://www.mdmountainside.com/a-streetcar-named-desire,Google Analytics,Google Analytics,No,Yes,No,No,Not Found
11,https://www.mdmountainside.com/allegany-county-fair-2019,Google Analytics,Google Analytics,No,Yes,No,No,Not Found
12,https://www.mdmountainside.com/an-intimate-evening-with-bowman-bowman-and-dre,Google Analytics,Google Analytics,No,Yes,No,No,Not Found
13,https://www.mdmountainside.com/art-and-yoga-2,Google Analytics,Google Analytics,No,Yes,No,No,Not Found
14,https://www.mdmountainside.com/battle-of-folcks-mill-commemoration-at-1812-brewery,Google Analytics,Google Analytics,No,Yes,No,No,Not Found
15,https://www.mdmountainside.com/blog/summer-of-music?fbclid=IwAR1Hog0BuyYL_dcQyw_yV4bncwFB8MrkfYI6vd2F7_da1zT4sOjoxsZ3Lp0,Google Analytics,Google Analytics,No,Yes,No,No,Canonicalized
16,https://www.mdmountainside.com/blog/summer-of-music?fbclid=IwAR1v_T9fc8LNOhnJY5SIfDnMCo8zbeXRsnIJA4K8ILLLlF0HjzE6NPlEJIs,Google Analytics,Google Analytics,No,Yes,No,No,Canonicalized
17,https://www.mdmountainside.com/blog/summer-of-music?fbclid=IwAR2-ZCnKWpZF_txfXMyAGV8zRybLsGRgWDqxGNut5pdugmrOFEfJIhHG3Xw,Google Analytics,Google Analytics,No,Yes,No,No,Canonicalized
18,https://www.mdmountainside.com/blog/summer-of-music?fbclid=IwAR3EnxNgUTGEAaJ7b3a_AK2ejOeEeOW1qlbPJHj3z7TTWaFfHOKnimDbKLw,Google Analytics,Google Analytics,No,Yes,No,No,Canonicalized
19,https://www.mdmountainside.com/blog/summer-of-music?fbclid=IwAR3LB-0kOWqXkWVnYjb_-1o4BMJ2NV3j24SLJvCewVd9Xs6ZPEdRxs0osvM,Google Analytics,Google Analytics,No,Yes,No,No,Canonicalized
20,https://www.mdmountainside.com/blurred-lines-deborah-hicks-odgers,Google Analytics,Google Analytics,No,Yes,No,No,Not Found
