,Type,Status,URLs,Hint,Description,Learn More
0,Issue,Failed,1140,Critical (Above-the-fold) CSS was not found,"URLs that do not include critical CSS content in the <head>. Optimize the critical rendering path by inlining critical CSS in the <head>, which allows above-the-fold content to render in the browser without waiting for the rest of the CSS to load. ",
1,Issue,Failed,1140,HTML content is not minified,"URLs that contains HTML which is not minified or could be minified further. Minification works by analyzing and rewriting the text-based parts of a file to reduce its overall size, resulting in faster response times and lower bandwidth costs. ",
2,Issue,Failed,1140,Contains one or more single point of failure,"URLs that have one or more single point of failure (SPOF). If you load 3rd party JavaScript, CSS or fonts synchronously inside the HTML <head>, these files could fail to load and stop the entire page from loading. ",
3,Advisory,Failed,1009,Transferred image size is over 100KB,"Image URL files that are over 100KB, which is generally considered large. One of the easiest ways you can improvem page load speed is by optimizing images and properly sizing them to the size that is rendered. ",
4,Issue,Failed,993,Total combined CSS content size is too big (over 500KB),"URLs for which the total byte size of the CSS resources is greater than 500KB. If the total downloaded CSS is too big, then the browser needs to do more work parsing CSS ready against the HTML, which makes rendering slower. ",
5,Issue,Failed,981,URL loads in one or more identical JavaScript Resource,URLs that load in one or more identical JavaScript resource (that have the same content but are loaded from different URLs). Duplicate JavaScript resources hurt performance by creating unnecessary HTTP requests. ,
6,Issue,Failed,808,Total combined JavaScript content size is too big (over 500KB),"URLs for which the total byte size of all the JavaScript resources is greater than 500KB. If the total downloaded JavaScript is too big, then the browser needs to do more work parsing and compiling the scripts, which makes rendering slower. ",
7,Issue,Failed,266,Server response too slow with a Time-to-First-Byte greater than 600ms,"URLs that had a Time-to-First-Byte (TTFB) greater than 600ms. TTFB is a measure of how long it takes to receive data from the server, and high TTFB is a cause of slow page load. ",
8,Issue,Failed,133,Total combined Image content size is too big (over 1MB),"URLs for which the total byte size of all image content is greater than 1MB. Large images, lots of images, or poorly compressed images will have a negative effect on load time and increase bandwidth. ",
9,Issue,Failed,102,Uncompressed text content resources,URLs that contain text content which has not been compressed. Text compression minimizes the byte size of network responses that include text content. Compressing text content with gzip saves download bytes and reduces bandwidth for the user. ,
10,Issue,Failed,6,Style Sheet is larger than 14.5KB,"URLs that use a CSS file which is greater than 14.5KB. The browser can download the CSS faster if each CSS response is small (less than 14.5 KB), so the page will start to render earlier. ",
11,Issue,Failed,6,Too many requests per domain,"URLs that make more than 30 concurrent requests to any one domain. When using HTTP/1, browsers have a limit on how many concurrent requests they can do per domain. Once this limit is hit, the browser will need to wait before it can download more assets on that domain - so avoid this additional wait time by having less requests per domain. Note that this hint can be ignored for any website implementing HTTP/2.",
12,Issue,Failed,4,CSS content is not minified,"URLs that use a a Style Sheet which contains CSS content that is not minified or could be minified further. Minification works by analyzing and rewriting the text-based parts of a file to reduce its overall size, resulting in faster response times and lower bandwidth costs. ",
13,Issue,Failed,3,JavaScript content is not minified,"URLs that load JavaScript files which contain JavaScript content that is not minified or could be minified further. Minification works by analyzing and rewriting the text-based parts of a file to reduce its overall size, resulting in faster response times and lower bandwidth costs. ",
14,Issue,Failed,2,Resources that do not specify cache headers,"Resource URLs, such as images or JavaScript files, that do not specify a cache header. Fetching something over the network is both slow and expensive. Large responses require many roundtrips between the client and server, which delays when they are available and when the browser can process them, and also incurs data costs for the visitor. Setting a cache header on your server response will tell the browser that it doesn't need to download assets again, which avoids unnecessary requests to the server. ",
15,Issue,Failed,2,Static resources have private a cache-control header,"Resource URLs, such as images or JavaScript files, that specify a private cache-control header. These responses are typically intended for customizing the browsing experience for a single user. Static content should be cached and used by all users, so avoid setting the cache to private. ",
16,Issue,Failed,2,Loads overweighted webfonts,"URLs that load in one or more webfonts that are above 50KB. Webfonts that are over this size are probably not optimized for the web, and slow down rendering. ",
17,Issue,Failed,2,Duplicate Javascript Files,"JavaScript file URLs that are technically duplicated - the URLs are the same other than a query string, and the file size and body content are identical. This typically comes from developers adding version numbers or timestamps to page resources, and can be problematic as you lose the ability to cache the resources across multiple pages. In reality, if this only affects a handful of URLs this is not a big issue, but if it affects thousands of URLs then it is a much bigger problem. ",
