,URL,Indexable Status,Canonical Status,Total Incoming Links,Incoming Followed Links,Incoming Followed Unique Links
0,https://www.mdmountainside.com/form-return,Noindex,To Self,1.0,1.0,1.0
1,https://www.mdmountainside.com/results,Noindex,To Self,1.0,1.0,1.0
2,https://www.mdmountainside.com/results?from=1,Canonicalized Noindex,To Internal URL,,,
3,https://www.mdmountainside.com/results?from=101,Canonicalized Noindex,To Internal URL,,,
4,https://www.mdmountainside.com/results?from=11,Canonicalized Noindex,To Internal URL,4.0,4.0,1.0
5,https://www.mdmountainside.com/results?from=111,Canonicalized Noindex,To Internal URL,,,
6,https://www.mdmountainside.com/results?from=121,Canonicalized Noindex,To Internal URL,,,
7,https://www.mdmountainside.com/results?from=131,Canonicalized Noindex,To Internal URL,,,
8,https://www.mdmountainside.com/results?from=141,Canonicalized Noindex,To Internal URL,,,
9,https://www.mdmountainside.com/results?from=151,Canonicalized Noindex,To Internal URL,,,
10,https://www.mdmountainside.com/results?from=161,Canonicalized Noindex,To Internal URL,,,
11,https://www.mdmountainside.com/results?from=171,Canonicalized Noindex,To Internal URL,,,
12,https://www.mdmountainside.com/results?from=181,Canonicalized Noindex,To Internal URL,,,
13,https://www.mdmountainside.com/results?from=191,Canonicalized Noindex,To Internal URL,,,
14,https://www.mdmountainside.com/results?from=201,Canonicalized Noindex,To Internal URL,,,
15,https://www.mdmountainside.com/results?from=21,Canonicalized Noindex,To Internal URL,2.0,2.0,1.0
16,https://www.mdmountainside.com/results?from=211,Canonicalized Noindex,To Internal URL,,,
17,https://www.mdmountainside.com/results?from=221,Canonicalized Noindex,To Internal URL,,,
18,https://www.mdmountainside.com/results?from=231,Canonicalized Noindex,To Internal URL,,,
19,https://www.mdmountainside.com/results?from=241,Canonicalized Noindex,To Internal URL,,,
20,https://www.mdmountainside.com/results?from=251,Canonicalized Noindex,To Internal URL,,,
21,https://www.mdmountainside.com/results?from=261,Canonicalized Noindex,To Internal URL,,,
22,https://www.mdmountainside.com/results?from=271,Canonicalized Noindex,To Internal URL,,,
23,https://www.mdmountainside.com/results?from=281,Canonicalized Noindex,To Internal URL,,,
24,https://www.mdmountainside.com/results?from=291,Canonicalized Noindex,To Internal URL,,,
25,https://www.mdmountainside.com/results?from=301,Canonicalized Noindex,To Internal URL,,,
26,https://www.mdmountainside.com/results?from=31,Canonicalized Noindex,To Internal URL,2.0,2.0,1.0
27,https://www.mdmountainside.com/results?from=311,Canonicalized Noindex,To Internal URL,,,
28,https://www.mdmountainside.com/results?from=321,Canonicalized Noindex,To Internal URL,,,
29,https://www.mdmountainside.com/results?from=331,Canonicalized Noindex,To Internal URL,,,
30,https://www.mdmountainside.com/results?from=341,Canonicalized Noindex,To Internal URL,,,
31,https://www.mdmountainside.com/results?from=351,Canonicalized Noindex,To Internal URL,,,
32,https://www.mdmountainside.com/results?from=361,Canonicalized Noindex,To Internal URL,,,
33,https://www.mdmountainside.com/results?from=371,Canonicalized Noindex,To Internal URL,,,
34,https://www.mdmountainside.com/results?from=381,Canonicalized Noindex,To Internal URL,,,
35,https://www.mdmountainside.com/results?from=391,Canonicalized Noindex,To Internal URL,,,
36,https://www.mdmountainside.com/results?from=401,Canonicalized Noindex,To Internal URL,,,
37,https://www.mdmountainside.com/results?from=41,Canonicalized Noindex,To Internal URL,2.0,2.0,1.0
38,https://www.mdmountainside.com/results?from=411,Canonicalized Noindex,To Internal URL,,,
39,https://www.mdmountainside.com/results?from=421,Canonicalized Noindex,To Internal URL,,,
40,https://www.mdmountainside.com/results?from=431,Canonicalized Noindex,To Internal URL,,,
41,https://www.mdmountainside.com/results?from=441,Canonicalized Noindex,To Internal URL,,,
42,https://www.mdmountainside.com/results?from=451,Canonicalized Noindex,To Internal URL,,,
43,https://www.mdmountainside.com/results?from=461,Canonicalized Noindex,To Internal URL,,,
44,https://www.mdmountainside.com/results?from=471,Canonicalized Noindex,To Internal URL,,,
45,https://www.mdmountainside.com/results?from=481,Canonicalized Noindex,To Internal URL,,,
46,https://www.mdmountainside.com/results?from=491,Canonicalized Noindex,To Internal URL,,,
47,https://www.mdmountainside.com/results?from=501,Canonicalized Noindex,To Internal URL,,,
48,https://www.mdmountainside.com/results?from=51,Canonicalized Noindex,To Internal URL,,,
49,https://www.mdmountainside.com/results?from=511,Canonicalized Noindex,To Internal URL,,,
50,https://www.mdmountainside.com/results?from=521,Canonicalized Noindex,To Internal URL,,,
51,https://www.mdmountainside.com/results?from=531,Canonicalized Noindex,To Internal URL,,,
52,https://www.mdmountainside.com/results?from=541,Canonicalized Noindex,To Internal URL,,,
53,https://www.mdmountainside.com/results?from=551,Canonicalized Noindex,To Internal URL,,,
54,https://www.mdmountainside.com/results?from=561,Canonicalized Noindex,To Internal URL,,,
55,https://www.mdmountainside.com/results?from=571,Canonicalized Noindex,To Internal URL,,,
56,https://www.mdmountainside.com/results?from=581,Canonicalized Noindex,To Internal URL,,,
57,https://www.mdmountainside.com/results?from=591,Canonicalized Noindex,To Internal URL,,,
58,https://www.mdmountainside.com/results?from=601,Canonicalized Noindex,To Internal URL,,,
