,Type,Status,URLs,Hint,Description,Learn More
0,Advisory,Failed,1140,Content-Security-Policy HTTP header is missing or invalid,"A Content Security Policy is an effective measure to protect your site from XSS attacks. By whitelisting sources of approved content, you can prevent the browser from loading malicious assets.",https://scotthelme.co.uk/content-security-policy-an-introduction/
1,Issue,Failed,1140,Loads page resources using protocol relative URIs,"Loading a resource using protocol relative URIs allow it to be requested over HTTP and opens the door for Man-on-the-side attacks. If a resource is available over SSL, then always use the https:// URI. ",https://sitebulb.com/hints/security/loads-page-resources-using-protocol-relative-uris/
2,Issue,Failed,1140,Has external opener links vulnerable to tabnapping,"Contains links to external URLs that use target='_blank' to open a new tab/window. The browser opens a new tab for the link, but also, for a very brief moment, allows the new tab to communicate with the original tab using a browser feature called the window.opener API. An attacker can place malicious code on the newly opened website, check the source of the click, and force the original tab to open a new URL.",https://www.jitbit.com/alexblog/256-targetblank---the-most-underestimated-vulnerability-ever/
3,Issue,Failed,1140,Has style sheets served via a CDN without subresource integrity,"A CDN is in control of some or all of the style sheets on this URL, which means a third-party could make unwanted changes to the script. Using a specification called Subresource Integrity, a website can include CSS that will stop working if it has been modified.",https://developer.mozilla.org/en-US/docs/Web/Security/Subresource_Integrity
4,Issue,Failed,1140,Has JavaScript served via a CDN without subresource integrity,"A CDN is in control of some or all of the JavaScript files on this URL, which means a third-party could make unwanted changes to the script. Using a specification called Subresource Integrity, a website can include JavaScript that will stop working if it has been modified.",https://developer.mozilla.org/en-US/docs/Web/Security/Subresource_Integrity
5,Advisory,Failed,4,HTTPS URL links to an HTTP URL,HTTPS URLs that contain one or more outgoing internal links to URLs which are HTTP. ,https://sitebulb.com/hints/security/https-url-links-to-an-http-url/
6,Advisory,Failed,4,Strict-Transport-Security HTTP (HSTS) header is missing,HTTP Strict Transport Security (HSTS) strengthens your implementation of TLS by getting the User Agent to enforce the use of HTTPS.,https://scotthelme.co.uk/hsts-the-missing-link-in-tls/
7,Advisory,Failed,4,Referrer-Policy HTTP header is missing,Referrer Policy is a new header that allows a site to control how much information the browser includes with navigations away from a document and should be set by all sites.,https://scotthelme.co.uk/a-new-security-header-referrer-policy/
8,Advisory,Failed,4,X-Content-Type-Options HTTP header is missing,"X-Content-Type-Options stops a browser from trying to MIME-sniff the content type and forces it to stick with the declared content-type. The only valid value for this header is ""X-Content-Type-Options: nosniff"".",https://scotthelme.co.uk/hardening-your-http-response-headers/#x-content-type-options
9,Issue,Pass,0,HTTP URL contains a password input field,URLs that are using an unsecure HTTP protocol and contain a form that posts potentially sensitive password data. ,https://sitebulb.com/hints/security/http-url-contains-a-password-input-field/
10,Issue,Pass,0,Mixed content (loads HTTP resources on HTTPS URL),"URLs that are loaded over a secure HTTPS connection, with some resources that are loaded over an unsecure HTTP connection (mixed content). ",https://sitebulb.com/hints/security/mixed-content-loads-http-resources-on-https-url/
11,Issue,Pass,0,HTTPS URL contains a form posting to HTTP,HTTPS URLs that contain a form which posts to HTTP (protocol change). ,https://sitebulb.com/hints/security/https-url-contains-a-form-posting-to-http/
12,Issue,Pass,0,X-Frame-Options HTTP header is missing or invalid,"X-Frame-Options tells the browser whether you want to allow your site to be framed or not. By preventing a browser from framing your site you can defend against attacks like clickjacking. Recommended value ""x-frame-options: SAMEORIGIN"".",https://scotthelme.co.uk/hardening-your-http-response-headers/#x-frame-options
13,Advisory,Pass,0,X-XSS-Protection HTTP header is missing or invalid,"X-XSS-Protection sets the configuration for the cross-site scripting filter built into most browsers. Recommended value ""X-XSS-Protection: 1; mode=block"".",https://scotthelme.co.uk/hardening-your-http-response-headers/#x-xss-protection
14,Issue,Pass,0,Has deprecated Public-Key-Pins HTTP header,The Public-Key-Pins header has limited support and is being deprecated. It is also easily create a lot of problems with this header is not set up correctly.,https://groups.google.com/a/chromium.org/forum/#!msg/blink-dev/he9tr7p3rZ8/eNMwKPmUBAAJ
15,Issue,Pass,0,Has deprecated Public-Key-Pins-Report-Only HTTP header,The Public-Key-Pins-Report-Only header has limited support and is being deprecated. It is also easily create a lot of problems if this header is not set up correctly.,https://groups.google.com/a/chromium.org/forum/#!msg/blink-dev/he9tr7p3rZ8/eNMwKPmUBAAJ
16,Advisory,Pass,0,Leaks server information useful for compromising servers,"Servers will commonly reveal what software is running on them, what versions of the software are on there and what frameworks are powering it. Reducing the amount of information you divulge is always a benefit.",https://scotthelme.co.uk/hardening-your-http-response-headers/#server
