,URL,Total Page Size (kB),Total CSS Size (kB),Total JS Size (kB),Total Image Size (kB)
0,https://www.mdmountainside.com/,3912.58,649.0,882.99,3639.13
1,https://www.mdmountainside.com/10th-annual-mountain-maryland-plein-air,3221.8,602.18,768.73,2646.82
2,https://www.mdmountainside.com/2018-cumberland-holiday-historic-home-tour,1640.5,602.18,768.73,1064.24
3,https://www.mdmountainside.com/2019-destination-guide,2812.65,598.65,261.03,2569.22
4,https://www.mdmountainside.com/7-cs-lodging,2367.16,602.18,768.73,1087.68
5,https://www.mdmountainside.com/?fbclid=IwAR0IxhFOSItNOypFXaMzorh3kQ0vL5fw3XBhO8MYsh2VH9agoIAQJlBifyw,3753.86,0.0,0.0,0.0
6,https://www.mdmountainside.com/Delfest,2665.74,598.65,261.03,2404.14
7,https://www.mdmountainside.com/about,2180.63,598.65,261.03,1770.25
8,https://www.mdmountainside.com/about-allegany-county-tourism,1900.77,598.65,261.03,1645.43
9,https://www.mdmountainside.com/allegania,1681.27,602.18,768.73,1107.01
10,https://www.mdmountainside.com/allegany-arts-council,3779.33,602.18,768.73,1781.38
11,https://www.mdmountainside.com/allegany-county-fairgrounds,1752.08,602.18,768.73,1174.54
12,https://www.mdmountainside.com/allegany-county-library-system,3315.5,602.18,768.73,1521.2
13,https://www.mdmountainside.com/allegany-county-restaurant-week-2018,3554.18,598.65,261.03,3159.0
14,https://www.mdmountainside.com/allegany-county-visitor-center,1834.67,602.18,768.73,1256.32
15,https://www.mdmountainside.com/allegany-museum,2234.26,602.18,768.73,1251.86
16,https://www.mdmountainside.com/art-exhibition-art-and-soul-ii-by-susan-g-devan,2529.46,602.18,768.73,1953.82
17,https://www.mdmountainside.com/bars-and-nighttlife,1819.74,602.18,768.73,1331.59
18,https://www.mdmountainside.com/bars-and-nighttlife?from=1,1819.82,0.0,0.0,0.0
19,https://www.mdmountainside.com/bars-and-nighttlife?from=11,1800.03,0.0,0.0,0.0
20,https://www.mdmountainside.com/bars-and-nighttlife?from=21,1812.58,0.0,0.0,0.0
21,https://www.mdmountainside.com/bars-and-nighttlife?from=31,1762.48,0.0,0.0,0.0
22,https://www.mdmountainside.com/best-of-the-blue-ridge-2019,1784.4,598.65,261.03,1536.86
23,https://www.mdmountainside.com/blog,2573.49,598.65,261.03,2274.7
24,https://www.mdmountainside.com/blog/allegany-county-ice-cream-trail,2265.33,598.65,261.03,2015.56
25,https://www.mdmountainside.com/blog/he-really-did-sleep-here-george-washington-in-allegany-county,2401.24,616.29,435.12,1795.04
26,https://www.mdmountainside.com/blog/must-do-winter-activities,1953.58,598.65,261.03,1549.13
27,https://www.mdmountainside.com/blog/plan-for-vacation-day,1906.48,598.65,261.03,1658.04
28,https://www.mdmountainside.com/blog/spring-bucket-list,2554.83,598.65,261.03,2149.83
29,https://www.mdmountainside.com/blog/top-activities-for-the-whole-family,1988.84,598.65,261.03,1738.6
30,https://www.mdmountainside.com/blog/top-places-to-dine-al-fresco-allegany-county-the-mountain-side-of-maryland,1752.1,598.65,261.03,1502.2
31,https://www.mdmountainside.com/blog/unforgettable-leaf-peeping-locations,2395.87,598.65,261.03,2143.4
32,https://www.mdmountainside.com/blog/your-guide-to-small-business-saturday,3963.25,598.65,261.03,2359.22
33,https://www.mdmountainside.com/cabins-and-campgrounds,1673.41,602.18,768.73,1215.25
34,https://www.mdmountainside.com/camp-potomac,2376.54,602.18,768.73,1131.54
35,https://www.mdmountainside.com/canal-place-heritage-park,2015.65,602.18,768.73,1143.27
36,https://www.mdmountainside.com/ces-at-frostburg-state-university,2096.03,602.18,768.73,1501.26
37,https://www.mdmountainside.com/charis-winery-distillery,1635.84,602.18,768.73,1060.38
38,https://www.mdmountainside.com/chinese-bandits-and-cruise-in-at-windsor-castle,1762.91,602.18,768.73,1189.01
39,https://www.mdmountainside.com/city-place-farmers-market,3173.6,602.18,261.03,2608.72
40,https://www.mdmountainside.com/clatter-coffee,3831.0,602.18,768.73,2873.08
41,https://www.mdmountainside.com/closer,2184.4,602.18,17.82,1610.23
42,https://www.mdmountainside.com/closer-matinee,2257.58,602.18,768.73,1682.29
43,https://www.mdmountainside.com/co-canal-national-historical-park-museum,1870.15,602.18,768.73,1292.3
44,https://www.mdmountainside.com/co-canal-towpath,2679.66,602.18,768.73,2103.19
45,https://www.mdmountainside.com/come-early-stay-late-2019,2870.49,598.65,269.68,2465.05
46,https://www.mdmountainside.com/comfort-inn-suites,1960.33,602.18,768.73,887.08
47,https://www.mdmountainside.com/contact-us,3063.29,598.65,261.03,2659.49
48,https://www.mdmountainside.com/contest-home,4466.33,871.45,313.26,3975.48
49,https://www.mdmountainside.com/contest-home?fbclid=IwAR0Yfm33iuos4egB5I_YQaD4QFnmVg1go131jwDVa3QpBJGp8pZGkDNIcBA,4466.47,0.0,0.0,0.0
50,https://www.mdmountainside.com/contest-home?fbclid=IwAR1rqV0KzozimLAq2_V0UGFN8hJRMT7qVLV2usZOSeZkuBEojQT0AGnfeGk,4463.51,0.0,0.0,0.0
51,https://www.mdmountainside.com/country-road-primitives,1763.97,602.18,768.73,728.06
52,https://www.mdmountainside.com/cumberland-theatre-creative-arts-center,1848.06,602.18,768.73,1264.49
53,https://www.mdmountainside.com/cycling,4148.64,612.19,583.1,3477.32
